mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
20.983,0.738,3.018,0.535,0.707,0.042,4.303,100.558,0.0
28.038,0.814,1.782,0.34,0.496,0.055,2.672,98.145,0.0
28.33,0.827,1.478,0.307,0.469,0.056,2.31,103.971,0.0
28.453,0.857,1.238,0.261,0.393,0.049,1.94,97.761,0.0
28.489,0.889,1.123,0.232,0.3,0.048,1.703,96.619,0.0
28.305,0.904,0.999,0.209,0.268,0.054,1.53,96.37,0.0
28.522,0.908,0.92,0.19,0.246,0.046,1.402,92.015,0.0
28.82,0.918,0.832,0.179,0.228,0.045,1.284,91.0,0.0
18.603,0.682,1.138,0.623,0.732,0.095,2.588,157.666,0.0
19.274,0.748,0.907,0.462,0.619,0.076,2.063,14.916,0.0
20.095,0.77,0.927,0.469,0.552,0.1,2.048,15.428,0.0
19.446,0.798,0.909,0.448,0.508,0.089,1.955,16.372,0.0
20.883,0.755,0.915,0.474,0.545,0.092,2.026,16.067,0.0
20.056,0.738,0.849,0.428,0.57,0.069,1.916,15.36,0.0
